DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240113094,06/19/2024 12:00:00 AM,06/17/2024 12:00:00 AM,1500,1,Central,139,1,330,BURGLARY FROM VEHICLE,0344 1307,36,M,W,101,STREET,,,IC,Invest Cont,330,,,,300 S  SANTA FE                     AV,,34.0439,-118.2326
240604069,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1617,6,Hollywood,656,1,761,BRANDISH WEAPON,0361 0603 0334 0913,43,M,H,102,SIDEWALK,204.0,FOLDING KNIFE,AA,Adult Arrest,761,,,,5900    BARTON                       AV,,34.088,-118.3223
241004491,01/13/2024 12:00:00 AM,01/13/2024 12:00:00 AM,1330,10,West Valley,1049,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913 1817 0446 0448,38,F,H,109,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,6300    BALBOA                       BL,,34.1841,-118.5011
240110029,04/07/2024 12:00:00 AM,04/06/2024 12:00:00 AM,1150,1,Central,163,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 0325,0,X,X,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,800 S  BROADWAY,,34.0437,-118.2547
240512418,11/05/2024 12:00:00 AM,11/04/2024 12:00:00 AM,1600,5,Harbor,587,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,33,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,700 W  37TH                         ST,,33.7106,-118.2917
240307525,03/07/2024 12:00:00 AM,03/07/2024 12:00:00 AM,2020,3,Southwest,362,2,624,BATTERY - SIMPLE ASSAULT,0360 0416 0446 0562 0913 1241 2004,56,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4600    OBAMA                        BL,,34.0215,-118.346
241308470,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1717,13,Newton,1311,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,19,F,H,124,BUS STOP,,,IC,Invest Cont,341,,,,W  WASHINGTON                   BL,S  FIGUEROA                     ST,34.035,-118.2734
241704566,01/14/2024 12:00:00 AM,01/14/2024 12:00:00 AM,1225,17,Devonshire,1768,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0416 0913 0429,43,F,A,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,9500    BALBOA                       BL,,34.243,-118.5025
241414640,10/31/2024 12:00:00 AM,10/29/2024 12:00:00 AM,100,14,Pacific,1474,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 1307 0329,19,M,W,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740,,,,8000    GEORGETOWN                   AV,,33.9667,-118.4181
240612920,10/27/2024 12:00:00 AM,10/27/2024 12:00:00 AM,915,6,Hollywood,648,2,888,TRESPASSING,1501 1822,0,X,X,909,MTA - RED LINE - HOLLYWOOD/WESTERN,,,IC,Invest Cont,888,,,,5400    HOLLYWOOD                    BL,,34.1017,-118.3072
